#TITLE:Demons are a girls best friend
#ARTIST:Powerwolf
#LANGUAGE:English
#EDITION:Official
#GENRE:Metal
#YEAR:2018
#CREATOR:LDD
#MP3:POWERWOLF - Demons Are A Girls Best Friend.mp3
#VIDEO:POWERWOLF - Demons Are A Girls Best Friend.avi
#BPM:144.00
#GAP:28858
: 0 2 4 Be
: 2 1 3 ware
: 4 1 -1  the
: 6 7 1  night
- 21
: 24 2 -4 Be
: 26 1 -4 ware
: 28 1 -4  the
: 30 1 4  night
: 32 2 3  be
: 34 1 1 fore
: 36 1 -1  the
* 38 9 1  dawn
- 53
: 56 2 -4 Be
: 58 1 -4 ware
: 60 1 -4  the
: 62 1 4  dark
: 64 1 3  when
: 66 1 1  light
: 68 1 -1  is
: 70 3 1  gone
- 74
: 76 1 1 For
: 78 2 1  there's
: 82 2 4  a
: 86 4 3  phan
: 90 3 1 tom
: 94 3 0  lust
: 98 2 -4  to
: 102 8 1  wake
- 118
: 121 1 -4 They
: 123 2 -4  wan
: 125 1 -4 na
: 127 1 4  make
: 129 1 3  you
: 131 1 1  bend
: 133 1 -1  and
: 135 8 1  scream
- 150
: 153 1 -4 They
: 155 2 -4  wan
: 157 1 -4 na
: 159 1 4  take
: 161 1 6  your
: 163 1 3  hand
: 165 1 -1  and
: 167 4 1  lead
: 172 1 1  you
: 174 3 1  in
: 179 2 4  the
: 183 3 3  light
: 187 2 1  of
: 191 4 0  Ve
: 195 2 -4 nus,
: 199 9 1  girl
- 214
: 217 1 -4 Come
: 219 1 -4  let
: 221 1 -4  them
: 223 1 4  take
: 225 1 6  you
: 227 1 4  for
: 229 1 3  a
: 231 8 4  ride
- 246
: 249 2 -3 For
: 251 1 -3 get
: 253 1 -3  the
: 255 1 4  lord
: 257 1 6  and
: 259 1 4  cross
: 261 1 3  to
: 263 4 4 night
- 268
: 270 1 4 And
: 272 2 4  let
: 276 3 3  your
: 280 4 3  car
: 284 3 1 nal
: 288 3 1  lust
: 292 4 -1  pre
: 296 10 1 vail
: 308 1 3  to
: 312 12 0 night
- 326
: 328 2 1 O~h
* 332 2 8 o~h
: 336 5 6 o~h
: 343 2 4  oh
: 345 2 6 oh
* 347 10 8 oh,
: 360 2 6  de
: 362 1 6 mons
: 364 1 6  come
: 366 1 6  at
: 368 3 6  night
: 372 1 6  and
: 374 1 8  they
: 376 3 9  bring
: 380 2 8  the
: 384 5 8  end
- 390
: 392 4 1 O~h
* 397 4 8 o~h
: 401 5 6 o~h
: 407 2 4  oh
: 409 2 6 oh
* 411 7 8 oh,
: 425 2 4  de
: 427 1 4 mons
: 429 1 4  are
: 431 1 4  a
: 433 3 3  girl's
: 437 2 -1  best
: 441 7 1  friend
- 454
: 457 3 1 O~h
: 461 3 8 o~h
: 465 5 6 o~h
: 471 2 4  oh
: 473 2 6 oh
: 475 7 8 oh,
: 489 2 6  de
: 491 1 6 mons
: 493 1 6  come
: 495 2 6  a
: 497 3 6 live
: 501 1 6  and
: 503 1 8  they
: 505 3 9  take
: 509 4 8  com
: 513 5 8 mand~
- 519
: 521 3 1 O~h
: 525 3 8 o~h
: 529 5 6 o~h
: 535 2 4  oh
: 537 2 6 oh
: 539 7 8 oh,
: 553 2 4  de
: 555 1 4 mons
: 557 1 4  are
: 559 1 4  a
: 561 4 3  girl's
: 566 3 -1  best
: 570 7 1  friend
- 578
: 580 2 4 Be
: 582 1 3 ware
: 584 1 -1  the
: 586 6 1  fire
- 601
: 604 1 -4 Be
: 606 1 -4 ware
: 608 1 -4  the
: 610 1 4  fi
: 612 1 3 re~
: 614 1 1  in
: 616 1 -1  their
: 618 7 1  eyes
- 633
: 636 2 -4 Be
: 638 1 -4 ware
: 640 1 -4  the
: 642 2 4  hor
: 644 2 3 mo
: 646 2 1 ne-dri
: 648 1 -1 ven
: 650 3 1  lies
- 654
: 656 1 1 For
: 658 3 1  there's
: 662 3 4  a
: 666 3 3  truth
: 670 4 1  be
: 674 3 0 hind
: 678 2 -4  the
: 682 10 1  veil
- 698
: 701 1 -4 They
: 703 1 -4  make
: 705 1 -4  you
: 707 1 4  part
: 709 1 3  of
: 711 2 1  black
: 713 1 -1 ened
: 715 7 1  rites
- 730
: 733 2 -4 Pro
: 735 1 -4 tect
: 737 1 -4  the
* 739 1 4  grail
* 741 2 3  be
: 743 1 1 tween
: 745 1 -1  your
: 747 2 1  thighs
- 750
: 752 1 1 Your
: 754 4 1  an
: 758 4 4 ti
: 762 3 3 dote
: 766 3 1  of
: 771 4 0  e
: 775 3 -4 vil~,
: 779 9 1  girl
- 794
: 797 1 -4 Come
: 799 2 -4  re
* 801 2 -4 sur
* 803 1 4 rect
* 805 1 6  him
* 807 1 4  to
* 809 1 3  the
: 811 9 4  sky
- 826
: 829 1 -3 And
